arquivo;elemento;posicao;bitola;qtd;comp_m;peso_kg;obs
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.344;0.848;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;29;0.075;0.335;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.344;0.848;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;29;0.075;0.335;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;4;24.000;14.797;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø12.5;8;0.357;2.751;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;24;0.157;0.581;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø12.5;8;0.100;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;4;0.157;0.097;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;4;24.000;14.797;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø12.5;8;0.357;2.751;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;24;0.157;0.581;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø12.5;8;0.100;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;4;0.157;0.097;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.344;0.848;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;29;0.077;0.344;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;5;0.077;0.059;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;29;23.000;102.805;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;6;0.344;1.273;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;29;0.095;0.425;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;28;0.073;0.315;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;5;0.073;0.056;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;28;0.085;0.367;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;5;0.085;0.066;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.085;0.367;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.085;0.066;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;28;28.000;120.838;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;8;0.407;3.137;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;0.125;0.539;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;20;24.000;73.983;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;5;24.000;18.496;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.297;1.717;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;20;0.077;0.237;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;2;0.357;0.688;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;17;Ø12.5;2;0.094;0.181;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;18;Ø12.5;4;0.407;1.568;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;24;0.145;0.536;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;19;Ø12.5;6;0.120;0.694;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;5;0.145;0.112;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;20;24.000;73.983;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;4;24.000;14.797;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.297;1.717;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;20;0.077;0.237;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;2;0.357;0.688;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;17;Ø12.5;2;0.094;0.181;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;18;Ø12.5;4;0.407;1.568;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø5;24;0.117;0.433;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;20;Ø12.5;6;0.100;0.578;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø5;4;0.117;0.072;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;22;26.000;88.163;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;22;26.000;88.163;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;4;26.000;16.030;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø12.5;6;0.327;1.890;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;22;0.101;0.342;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;6;0.377;2.179;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;22;0.101;0.342;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.100;0.578;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;4;0.101;0.062;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;8;0.357;2.751;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;24;0.077;0.285;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;8;0.377;2.905;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;22;0.077;0.261;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;8;0.100;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;4;0.077;0.047;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;8;0.327;1.613;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
